cl60_1002	51	2	2	1
cl60_1018	9	1	1	1
cl60_1020	16	171	172	0.994186
cl60_1020	8	1	172	0.00581395
cl60_1036	28	1	1	1
cl60_104	45	13	13	1
cl60_1047	63	2	2	1
cl60_1049	3,10	22	28	0.785714
cl60_1049	9,46	6	28	0.214286
cl60_1061	13	1	388	0.00257732
cl60_1061	2	1	388	0.00257732
cl60_1061	4	3	388	0.00773196
cl60_1061	7	372	388	0.958763
cl60_1061	8	1	388	0.00257732
cl60_1061	9	10	388	0.0257732
cl60_1063	4	2	2	1
cl60_1066	4	1	152	0.00657895
cl60_1066	7	151	152	0.993421
cl60_1067	21	1	2	0.5
cl60_1067	9	1	2	0.5
cl60_1071	48	1	11	0.0909091
cl60_1071	53	10	11	0.909091
cl60_1072	18	2	2	1
cl60_110	18	1	13	0.0769231
cl60_110	45	12	13	0.923077
cl60_1111	11	1	21	0.047619
cl60_1111	40	1	21	0.047619
cl60_1111	4	1	21	0.047619
cl60_1111	44	1	21	0.047619
cl60_1111	47	1	21	0.047619
cl60_1111	50	2	21	0.0952381
cl60_1111	6,14	1	21	0.047619
cl60_1111	7	5	21	0.238095
cl60_1111	8	4	21	0.190476
cl60_1111	9	4	21	0.190476
cl60_1116	8	99	99	1
cl60_1125	4	3	6	0.5
cl60_1125	9	3	6	0.5
cl60_1132	6,14	4	4	1
cl60_1133	6,14	13	13	1
cl60_1143	8	1	1	1
cl60_1156	3,10	1	1	1
cl60_1163	4	1	1	1
cl60_1169	7	2	4	0.5
cl60_1169	9	2	4	0.5
cl60_1170	35	1	3	0.333333
cl60_1170	7	1	3	0.333333
cl60_1170	8	1	3	0.333333
cl60_1175	7	2	2	1
cl60_1178	4	1	1	1
cl60_1179	4	1	1	1
cl60_1184	7	1	1	1
cl60_1186	48	1	2	0.5
cl60_1186	9	1	2	0.5
cl60_12	4	2	2	1
cl60_125	13	37	38	0.973684
cl60_125	9	1	38	0.0263158
cl60_135	13	20	20	1
cl60_139	8	7	7	1
cl60_14	4	1	1	1
cl60_150	9	2	2	1
cl60_151	30	9	10	0.9
cl60_151	4	1	10	0.1
cl60_159	30	16	16	1
cl60_175	58	7	7	1
cl60_185	4	1	1	1
cl60_197	4	2	2	1
cl60_20	4	182	201	0.905473
cl60_206	4	1	1	1
cl60_20	9,46,27	19	201	0.0945274
cl60_2	18	1	1	1
cl60_234	28	18	18	1
cl60_239	8	1	1	1
cl60_240	9	1	1	1
cl60_24	1,3,19	8	70	0.114286
cl60_24	3,10	44	70	0.628571
cl60_246	28	6	6	1
cl60_24	9	3	70	0.0428571
cl60_24	9,46	15	70	0.214286
cl60_26	4	2	2	1
cl60_288	21	7	7	1
cl60_291	9	1	1	1
cl60_294	41	53	53	1
cl60_30	4	21	25	0.84
cl60_30	9	4	25	0.16
cl60_313	38	14	14	1
cl60_324	40	22	22	1
cl60_325	17	1	17	0.0588235
cl60_325	21	1	17	0.0588235
cl60_325	30	1	17	0.0588235
cl60_325	40	1	17	0.0588235
cl60_325	42	1	17	0.0588235
cl60_325	4	4	17	0.235294
cl60_325	47	4	17	0.235294
cl60_325	48	1	17	0.0588235
cl60_325	56	1	17	0.0588235
cl60_325	60	1	17	0.0588235
cl60_325	9,46	1	17	0.0588235
cl60_327	8	2	2	1
cl60_331	40	10	10	1
cl60_337	57	1	1	1
cl60_340	47	45	45	1
cl60_361	1,3,19	11	58	0.189655
cl60_361	3,10	32	58	0.551724
cl60_361	4	1	58	0.0172414
cl60_361	9	2	58	0.0344828
cl60_361	9,46	12	58	0.206897
cl60_368	8	11	11	1
cl60_369	21	24	25	0.96
cl60_369	4	1	25	0.04
cl60_39	9	1	1	1
cl60_420	4	1	1	1
cl60_424	4	2	573	0.0034904
cl60_424	54	1	573	0.0017452
cl60_424	8	569	573	0.993019
cl60_424	9	1	573	0.0017452
cl60_42	8	2	2	1
cl60_437	7	1	1	1
cl60_440	8	2	2	1
cl60_447	1,3,19	1	643	0.00155521
cl60_447	2	14	643	0.0217729
cl60_447	3,10	2	643	0.00311042
cl60_447	4	393	643	0.611198
cl60_447	7	1	643	0.00155521
cl60_447	8	1	643	0.00155521
cl60_447	9	231	643	0.359253
cl60_462	30	16	16	1
cl60_466	28	24	24	1
cl60_468	1,3,19	1	214	0.0046729
cl60_468	2	8	214	0.0373832
cl60_468	4	156	214	0.728972
cl60_468	9,46,27	2	214	0.00934579
cl60_468	9	47	214	0.219626
cl60_487	2	1	64	0.015625
cl60_487	4	44	64	0.6875
cl60_487	9	19	64	0.296875
cl60_492	48	9	9	1
cl60_495	39	10	10	1
cl60_500	65	8	8	1
cl60_536	42	4	4	1
cl60_547	28	2	2	1
cl60_566	9	1	1	1
cl60_575	17	12	12	1
cl60_580	8	12	12	1
cl60_582	4	3	3	1
cl60_583	40	6	6	1
cl60_587	4	1	1	1
cl60_630	40	11	11	1
cl60_631	40	6	6	1
cl60_632	28	1	1	1
cl60_674	21	46	47	0.978723
cl60_674	4	1	47	0.0212766
cl60_696	42	1	1	1
cl60_702	53	3	3	1
cl60_716	50	29	29	1
cl60_732	1,3,19	5	84	0.0595238
cl60_732	3,10	41	84	0.488095
cl60_732	4	2	84	0.0238095
cl60_732	9	1	84	0.0119048
cl60_732	9,46,27	1	84	0.0119048
cl60_732	9,46	34	84	0.404762
cl60_736	1,3,19	1	468	0.00213675
cl60_736	7	1	468	0.00213675
cl60_736	8	466	468	0.995726
cl60_751	9	1	1	1
cl60_769	2	2	173	0.0115607
cl60_769	4	132	173	0.763006
cl60_769	9	33	173	0.190751
cl60_769	9,46,27	6	173	0.0346821
cl60_7	7	1	1	1
cl60_771	28	1	1	1
cl60_777	3,10	3	3	1
cl60_800	4	1	158	0.00632911
cl60_800	7	157	158	0.993671
cl60_801	18	1	10	0.1
cl60_801	65	9	10	0.9
cl60_819	8	1	1	1
cl60_821	4	1	50	0.02
cl60_821	7	49	50	0.98
cl60_827	8	10	10	1
cl60_835	1,3,19	1	255	0.00392157
cl60_835	2	3	255	0.0117647
cl60_835	4	171	255	0.670588
cl60_835	8	2	255	0.00784314
cl60_835	9	78	255	0.305882
cl60_847	6,14	5	5	1
cl60_849	18	41	43	0.953488
cl60_849	4	1	43	0.0232558
cl60_849	54	1	43	0.0232558
cl60_857	48	9	9	1
cl60_874	4	1	1	1
cl60_877	6,14	1	1	1
cl60_895	6,14	51	51	1
cl60_896	8	1	1	1
cl60_900	35	61	61	1
cl60_904	8	1	1	1
cl60_92	4	2	3	0.666667
cl60_92	9	1	3	0.333333
cl60_935	8	2	2	1
