cl60_1001	K10	17	20	0.85
cl60_1001	K9	1	20	0.05
cl60_1001	O89/O101/O162	14	20	0.7
cl60_1002	Escherichia_coli-KX02	2	47	0.0425532
cl60_1002	Escherichia_coli-KX11	1	47	0.0212766
cl60_1002	Escherichia_coli-KX16	2	47	0.0425532
cl60_1002	Escherichia_coli-KX29	1	47	0.0212766
cl60_1002	Escherichia_coli-KX37	7	47	0.148936
cl60_1002	Escherichia_coli-KX42	4	47	0.0851064
cl60_1002	O23	42	47	0.893617
cl60_1002	O6	1	47	0.0212766
cl60_1002	O8/O9/O9a	2	47	0.0425532
cl60_1003	O116	3	3	1
cl60_1006	O13/O129/O135	19	19	1
cl60_1009	O108	1	1	1
cl60_1013	O49	7	7	1
cl60_1014	O107/O117	1	1	1
cl60_1015	Escherichia_coli-KX16	2	3	0.666667
cl60_1015	O10	3	3	1
cl60_1016	O10	6	6	1
cl60_1020	K54	1	23	0.0434783
cl60_1020	O109	1	23	0.0434783
cl60_1020	O11	20	23	0.869565
cl60_1020	O71	1	23	0.0434783
cl60_1020	O8/O9/O9a	1	23	0.0434783
cl60_1024	O2/O50	9	9	1
cl60_1025	O5	2	2	1
cl60_1026	Escherichia_coli-KX32	1	15	0.0666667
cl60_1026	Escherichia_coli-KX53	1	15	0.0666667
cl60_1026	O1	14	15	0.933333
cl60_1026	O4	1	15	0.0666667
cl60_1028	O13/O129/O135	8	8	1
cl60_1030	O174	1	1	1
cl60_1032	O116	11	11	1
cl60_1033	Escherichia_coli-KX02	2	4	0.5
cl60_1033	Escherichia_coli-KX03	1	4	0.25
cl60_1033	O107/O117	3	4	0.75
cl60_1035	O27	11	11	1
cl60_1035	O8/O9/O9a	2	11	0.181818
cl60_1036	O5	4	4	1
cl60_1038	Escherichia_coli-KX42	1	16	0.0625
cl60_1038	O126	16	16	1
cl60_103	O152	1	1	1
cl60_1040	O19	3	3	1
cl60_1041	O53	3	3	1
cl60_1042	Escherichia_coli-KX42	1	1	1
cl60_1043	Escherichia_coli-KX42	1	1	1
cl60_1043	O15	1	1	1
cl60_1045	O19	10	10	1
cl60_1046	O8/O9/O9a	26	26	1
cl60_1048	Escherichia_coli-KX02	6	61	0.0983607
cl60_1048	Escherichia_coli-KX36	1	61	0.0163934
cl60_1048	Escherichia_coli-KX41	2	61	0.0327869
cl60_1048	Escherichia_coli-KX42	1	61	0.0163934
cl60_1048	Escherichia_coli-KX75	1	61	0.0163934
cl60_1048	O107/O117	57	61	0.934426
cl60_1048	O125ab/O125ac/O125	1	61	0.0163934
cl60_1048	O55	1	61	0.0163934
cl60_104	O113	1	17	0.0588235
cl60_104	OX13	16	17	0.941176
cl60_1052	O70	7	7	1
cl60_1055	O136	11	11	1
cl60_1056	O24/O56/O157	1	1	1
cl60_1057	Escherichia_coli-KX41	1	20	0.05
cl60_1057	O103	20	20	1
cl60_1058	Escherichia_coli-KX41	1	22	0.0454545
cl60_1058	O103	22	22	1
cl60_105	Escherichia_coli-KX02	6	7	0.857143
cl60_105	Escherichia_coli-KX42	1	7	0.142857
cl60_105	O153/O178	1	7	0.142857
cl60_105	O17/O44/O73/O77/O106	1	7	0.142857
cl60_105	O21	2	7	0.285714
cl60_105	O6	1	7	0.142857
cl60_1060	O8/O9/O9a	28	28	1
cl60_106	Escherichia_coli-KX18	13	259	0.0501931
cl60_106	Escherichia_coli-KX21	204	259	0.787645
cl60_106	Escherichia_coli-KX29	1	259	0.003861
cl60_106	Escherichia_coli-KX30	3	259	0.011583
cl60_106	Escherichia_coli-KX35	1	259	0.003861
cl60_106	Escherichia_coli-KX41	4	259	0.015444
cl60_106	Escherichia_coli-KX42	21	259	0.0810811
cl60_106	O102	1	259	0.003861
cl60_106	O11	20	259	0.0772201
cl60_106	O1	2	259	0.00772201
cl60_106	O13/O129/O135	1	259	0.003861
cl60_106	O153/O178	3	259	0.011583
cl60_106	O15	7	259	0.027027
cl60_106	O160	1	259	0.003861
cl60_106	O16	1	259	0.003861
cl60_106	O176	1	259	0.003861
cl60_106	O17/O44/O73/O77/O106	2	259	0.00772201
cl60_106	O19	3	259	0.011583
cl60_106	O21	2	259	0.00772201
cl60_106	O22	16	259	0.0617761
cl60_106	O23	1	259	0.003861
cl60_106	O25	40	259	0.15444
cl60_106	O2/O50	12	259	0.046332
cl60_106	O4	1	259	0.003861
cl60_106	O5	23	259	0.0888031
cl60_106	O6	74	259	0.285714
cl60_106	O83	21	259	0.0810811
cl60_106	O88	1	259	0.003861
cl60_106	Shigella-B9	1	259	0.003861
cl60_1070	O102	22	22	1
cl60_1072	O176	2	2	1
cl60_1076	Escherichia_coli-KX44	1	2	0.5
cl60_1076	O13/O129/O135	1	2	0.5
cl60_1077	O15	1	1	1
cl60_1078	Escherichia_coli-K11	1	79	0.0126582
cl60_1078	Escherichia_coli-KX03	2	79	0.0253165
cl60_1078	Escherichia_coli-KX16	1	79	0.0126582
cl60_1078	K156_D1	3	79	0.0379747
cl60_1078	O13/O129/O135	79	79	1
cl60_1078	O174	1	79	0.0126582
cl60_1078	O53	1	79	0.0126582
cl60_1082	O149	28	28	1
cl60_1084	Escherichia_coli-KX11	1	2	0.5
cl60_1084	Escherichia_coli-KX42	1	2	0.5
cl60_1085	O169/O183	1	1	1
cl60_1087	Escherichia_coli-KX29	1	1	1
cl60_1087	O25	1	1	1
cl60_1088	O138	1	19	0.0526316
cl60_1088	O149	18	19	0.947368
cl60_1088	O8/O9/O9a	1	19	0.0526316
cl60_1090	K63	1	2	0.5
cl60_1090	O51	1	2	0.5
