cl60_732	Salmonella	3,10;9,46	41;34	84;84	0.488095;0.404762	Confident;Confident
cl60_736	Salmonella	8	466	468	0.995726	Highly confident
cl60_751	Salmonella	9	1	1	1.0	Highly confident
cl60_769	Salmonella	4	132	173	0.763006	Confident
cl60_771	Salmonella	28	1	1	1.0	Highly confident
cl60_777	Salmonella	3,10	3	3	1.0	Highly confident
cl60_800	Salmonella	7	157	158	0.993671	Highly confident
cl60_801	Salmonella	65	9	10	0.9	Confident
cl60_819	Salmonella	8	1	1	1.0	Highly confident
cl60_821	Salmonella	7	49	50	0.98	Highly confident
cl60_827	Salmonella	8	10	10	1.0	Highly confident
cl60_835	Salmonella	4	171	255	0.670588	Confident
cl60_847	Salmonella	6,14	5	5	1.0	Highly confident
cl60_849	Salmonella	18	41	43	0.953488	Highly confident
cl60_857	Salmonella	48	9	9	1.0	Highly confident
cl60_874	Salmonella	4	1	1	1.0	Highly confident
cl60_877	Salmonella	6,14	1	1	1.0	Highly confident
cl60_895	Salmonella	6,14	51	51	1.0	Highly confident
cl60_896	Salmonella	8	1	1	1.0	Highly confident
cl60_900	Salmonella	35	61	61	1.0	Highly confident
cl60_904	Salmonella	8	1	1	1.0	Highly confident
cl60_92	Salmonella	4	2	3	0.666667	Uncertain
cl60_935	Salmonella	8	2	2	1.0	Highly confident
cl60_937	Salmonella	17	4	4	1.0	Highly confident
cl60_94	Salmonella	9	1	1	1.0	Highly confident
cl60_940	Salmonella	60	5	5	1.0	Highly confident
cl60_947	Salmonella	11	84	85	0.988235	Highly confident
cl60_951	Salmonella	17	25	25	1.0	Highly confident
cl60_967	Salmonella	42	9	9	1.0	Highly confident
cl60_968	Salmonella	44	10	10	1.0	Highly confident
cl60_970	Salmonella	38	1	1	1.0	Highly confident
cl60_976	Salmonella	61	6	6	1.0	Highly confident
cl60_984	Salmonella	8	1	1	1.0	Highly confident
cl60_993	Salmonella	4	2	2	1.0	Highly confident
cl60_997	Salmonella	8	2	2	1.0	Highly confident
