cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_1169	Escherichia_coli_Shigella	Escherichia_coli-KX22;Escherichia_coli-KX41	1;1	3;3	0.333333;0.333333	Uncertain;Uncertain
cl60_1173	Escherichia_coli_Shigella	O2/O50	1	1	1.0	Highly confident
cl60_1174	Escherichia_coli_Shigella	O17/O44/O73/O77/O106	2	2	1.0	Highly confident
cl60_1185	Escherichia_coli_Shigella	58;O123/O186	1;1	1;1	1.0;1.0	Highly confident;Highly confident
cl60_1188	Escherichia_coli_Shigella	O70	1	1	1.0	Highly confident
cl60_121	Escherichia_coli_Shigella	K127	40	57	0.701754	Confident
cl60_125	Escherichia_coli_Shigella	O86/O90/O127	8	8	1.0	Highly confident
cl60_127	Escherichia_coli_Shigella	K53	10	12	0.833333	Confident
cl60_130	Escherichia_coli_Shigella	O22	2	2	1.0	Highly confident
cl60_132	Escherichia_coli_Shigella	O39	16	16	1.0	Highly confident
cl60_135	Escherichia_coli_Shigella	O86/O90/O127	19	19	1.0	Highly confident
cl60_138	Escherichia_coli_Shigella	O54	3	3	1.0	Highly confident
cl60_144	Escherichia_coli_Shigella	K115	1	2	0.5	Uncertain
cl60_148	Escherichia_coli_Shigella	O166	1	1	1.0	Highly confident
cl60_15	Escherichia_coli_Shigella	O51	21	21	1.0	Highly confident
cl60_151	Escherichia_coli_Shigella	O24/O56/O157	10	10	1.0	Highly confident
cl60_158	Escherichia_coli_Shigella	Escherichia_coli-KX53	45	106	0.424528	Confident
cl60_159	Escherichia_coli_Shigella	O24/O56/O157	6	7	0.857143	Confident
cl60_164	Escherichia_coli_Shigella	O8/O9/O9a	8	8	1.0	Highly confident
cl60_165	Escherichia_coli_Shigella	O132;O148;O15;O19;O20/O137;O8/O9/O9a	1;1;1;1;1;1	6;6;6;6;6;6	0.166667;0.166667;0.166667;0.166667;0.166667;0.166667	Uncertain;Uncertain;Uncertain;Uncertain;Uncertain;Uncertain
cl60_17	Escherichia_coli_Shigella	O13/O129/O135	1	1	1.0	Highly confident
cl60_170	Escherichia_coli_Shigella	K30	2	2	1.0	Highly confident
cl60_173	Escherichia_coli_Shigella	O62/O68	1	1	1.0	Highly confident
cl60_175	Escherichia_coli_Shigella	O123/O186	54	63	0.857143	Confident
cl60_176	Escherichia_coli_Shigella	Escherichia_coli-KX02	41	48	0.854167	Confident
cl60_178	Escherichia_coli_Shigella	O166	51	57	0.894737	Confident
cl60_179	Escherichia_coli_Shigella	Escherichia_coli-KX44	15	17	0.882353	Confident
cl60_180	Escherichia_coli_Shigella	O48	24	26	0.923077	Highly confident
cl60_182	Escherichia_coli_Shigella	Escherichia_coli-KX03	2	2	1.0	Highly confident
cl60_183	Escherichia_coli_Shigella	Escherichia_coli-KX40	25	33	0.757576	Confident
cl60_186	Escherichia_coli_Shigella	Escherichia_coli-KX42	2	2	1.0	Highly confident
cl60_187	Escherichia_coli_Shigella	O112;O8/O9/O9a	10;12	20;20	0.5;0.6	Confident;Confident
cl60_188	Escherichia_coli_Shigella	Escherichia_coli-KX42	181	192	0.942708	Highly confident
cl60_19	Escherichia_coli_Shigella	K47	4	6	0.666667	Confident
cl60_191	Escherichia_coli_Shigella	K14	13	17	0.764706	Confident
cl60_193	Escherichia_coli_Shigella	O8/O9/O9a	2	2	1.0	Highly confident
cl60_195	Escherichia_coli_Shigella	K71	6	6	1.0	Highly confident
cl60_202	Escherichia_coli_Shigella	Escherichia_coli-KX19;Escherichia_coli-KX21	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_206	Escherichia_coli_Shigella	O8/O9/O9a;Shigella-B17	14;15	22;22	0.636364;0.681818	Confident;Confident
cl60_209	Escherichia_coli_Shigella	K25	8	12	0.666667	Confident
cl60_214	Escherichia_coli_Shigella	K23	2	3	0.666667	Uncertain
cl60_220	Escherichia_coli_Shigella	K53	10	12	0.833333	Confident
cl60_227	Escherichia_coli_Shigella	O182	1	1	1.0	Highly confident
cl60_229	Escherichia_coli_Shigella	O15	2	3	0.666667	Uncertain
cl60_230	Escherichia_coli_Shigella	O187	17	17	1.0	Highly confident
cl60_234	Escherichia_coli_Shigella	O71	36	36	1.0	Highly confident
cl60_236	Escherichia_coli_Shigella	O40	4	9	0.444444	Confident
cl60_237	Escherichia_coli_Shigella	O159	4	4	1.0	Highly confident
cl60_242	Escherichia_coli_Shigella	O174	49	55	0.890909	Confident
cl60_243	Escherichia_coli_Shigella	O16;O23;O3;O88	1;1;1;1	4;4;4;4	0.25;0.25;0.25;0.25	Uncertain;Uncertain;Uncertain;Uncertain
cl60_244	Escherichia_coli_Shigella	O38	20	20	1.0	Highly confident
cl60_248	Escherichia_coli_Shigella	Escherichia_coli-KX29	2	2	1.0	Highly confident
cl60_249	Escherichia_coli_Shigella	Escherichia_coli-KX03	1	1	1.0	Highly confident
cl60_253	Escherichia_coli_Shigella	O152	1	1	1.0	Highly confident
cl60_255	Escherichia_coli_Shigella	O79	4	4	1.0	Highly confident
cl60_256	Escherichia_coli_Shigella	O98	1	1	1.0	Highly confident
cl60_258	Escherichia_coli_Shigella	O8/O9/O9a	8	10	0.8	Confident
cl60_264	Escherichia_coli_Shigella	O8/O9/O9a	11	11	1.0	Highly confident
cl60_266	Escherichia_coli_Shigella	O180	3	3	1.0	Highly confident
cl60_267	Escherichia_coli_Shigella	Escherichia_coli-KX53	29	71	0.408451	Confident
cl60_273	Escherichia_coli_Shigella	Escherichia_coli-KX75	3	5	0.6	Uncertain
cl60_279	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_281	Escherichia_coli_Shigella	O108	5	6	0.833333	Confident
cl60_282	Escherichia_coli_Shigella	O8/O9/O9a	38	39	0.974359	Highly confident
cl60_287	Escherichia_coli_Shigella	O3;O89/O101/O162	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_29	Escherichia_coli_Shigella	O153/O178	69	72	0.958333	Highly confident
cl60_290	Escherichia_coli_Shigella	O48	1	1	1.0	Highly confident
cl60_295	Escherichia_coli_Shigella	O154;O21	8;6	21;21	0.380952;0.285714	Confident;Confident
cl60_298	Escherichia_coli_Shigella	Escherichia_coli-KX42	2	2	1.0	Highly confident
cl60_3	Escherichia_coli_Shigella	Escherichia_coli-KX03	2	2	1.0	Highly confident
cl60_300	Escherichia_coli_Shigella	Escherichia_coli-KX29	94	229	0.41048	Confident
cl60_307	Escherichia_coli_Shigella	Escherichia_coli-KX69	1	2	0.5	Uncertain
cl60_309	Escherichia_coli_Shigella	O8/O9/O9a	20	21	0.952381	Highly confident
cl60_310	Escherichia_coli_Shigella	Escherichia_coli-KX75	13	15	0.866667	Confident
cl60_313	Escherichia_coli_Shigella	O21	34	43	0.790698	Confident
cl60_314	Escherichia_coli_Shigella	O142	17	17	1.0	Highly confident
cl60_316	Escherichia_coli_Shigella	O133	1	1	1.0	Highly confident
cl60_317	Escherichia_coli_Shigella	O154	4	6	0.666667	Confident
cl60_319	Escherichia_coli_Shigella	O51	5	6	0.833333	Confident
cl60_324	Escherichia_coli_Shigella	O6	56	57	0.982456	Highly confident
cl60_326	Escherichia_coli_Shigella	Escherichia_coli-KX75	1	1	1.0	Highly confident
cl60_330	Escherichia_coli_Shigella	K13;K2	9;10	24;24	0.375;0.416667	Confident;Confident
cl60_331	Escherichia_coli_Shigella	O6	34	34	1.0	Highly confident
cl60_333	Escherichia_coli_Shigella	O74	5	5	1.0	Highly confident
cl60_334	Escherichia_coli_Shigella	O8/O9/O9a	1	1	1.0	Highly confident
cl60_336	Escherichia_coli_Shigella	O188;Shigella-B16	26;24	28;28	0.928571;0.857143	Highly confident;Confident
cl60_338	Escherichia_coli_Shigella	O167	5	6	0.833333	Confident
cl60_34	Escherichia_coli_Shigella	Escherichia_coli-KX21	1	2	0.5	Uncertain
cl60_340	Escherichia_coli_Shigella	O118/O151	19	19	1.0	Highly confident
cl60_341	Escherichia_coli_Shigella	O46/O134	35	46	0.76087	Confident
cl60_342	Escherichia_coli_Shigella	O18/O18ab/O18ac	36	36	1.0	Highly confident
cl60_344	Escherichia_coli_Shigella	Escherichia_coli-KX75	2	2	1.0	Highly confident
cl60_345	Escherichia_coli_Shigella	O54	1	1	1.0	Highly confident
cl60_348	Escherichia_coli_Shigella	Escherichia_coli-KX22	64	123	0.520325	Confident
cl60_351	Escherichia_coli_Shigella	K57	18	28	0.642857	Confident
cl60_353	Escherichia_coli_Shigella	K46	2	2	1.0	Highly confident
cl60_354	Escherichia_coli_Shigella	O180	21	21	1.0	Highly confident
cl60_355	Escherichia_coli_Shigella	Escherichia_coli-KX03	1	3	0.333333	Uncertain
cl60_359	Escherichia_coli_Shigella	K47	30	37	0.810811	Confident
