cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_696	Escherichia_coli_Shigella	O1	1	1	1.0	Highly confident
cl60_697	Escherichia_coli_Shigella	O74	22	22	1.0	Highly confident
cl60_698	Escherichia_coli_Shigella	O126;O53	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_700	Escherichia_coli_Shigella	K25	1	2	0.5	Uncertain
cl60_702	Escherichia_coli_Shigella	O49	1	1	1.0	Highly confident
cl60_706	Escherichia_coli_Shigella	O100	19	21	0.904762	Highly confident
cl60_708	Escherichia_coli_Shigella	O148;O19;O86/O90/O127	1;1;1	3;3;3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_709	Escherichia_coli_Shigella	O136	1	1	1.0	Highly confident
cl60_712	Escherichia_coli_Shigella	O91	57	60	0.95	Highly confident
cl60_714	Escherichia_coli_Shigella	O80	5	5	1.0	Highly confident
cl60_715	Escherichia_coli_Shigella	O10	3	3	1.0	Highly confident
cl60_716	Escherichia_coli_Shigella	O55	27	28	0.964286	Highly confident
cl60_718	Escherichia_coli_Shigella	O168	18	18	1.0	Highly confident
cl60_719	Escherichia_coli_Shigella	OX25	4	4	1.0	Highly confident
cl60_721	Escherichia_coli_Shigella	O18/O18ab/O18ac	36	37	0.972973	Highly confident
cl60_723	Escherichia_coli_Shigella	Escherichia_coli-KX41	1	1	1.0	Highly confident
cl60_725	Escherichia_coli_Shigella	Escherichia_coli-KX42	11	90	0.122222	Confident
cl60_727	Escherichia_coli_Shigella	O133;O8/O9/O9a	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_729	Escherichia_coli_Shigella	O116	5	5	1.0	Highly confident
cl60_73	Escherichia_coli_Shigella	Escherichia_coli-KX11	5	5	1.0	Highly confident
cl60_730	Escherichia_coli_Shigella	O138	11	11	1.0	Highly confident
cl60_733	Escherichia_coli_Shigella	O168	19	19	1.0	Highly confident
cl60_734	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	3;3	0.333333;0.333333	Uncertain;Uncertain
cl60_738	Escherichia_coli_Shigella	O102	24	28	0.857143	Confident
cl60_739	Escherichia_coli_Shigella	O153/O178	22	24	0.916667	Highly confident
cl60_74	Escherichia_coli_Shigella	K60	1	1	1.0	Highly confident
cl60_743	Escherichia_coli_Shigella	Escherichia_coli-KX11	34	48	0.708333	Confident
cl60_744	Escherichia_coli_Shigella	O141/O141ab/O141ac	15	16	0.9375	Highly confident
cl60_746	Escherichia_coli_Shigella	O35	8	8	1.0	Highly confident
cl60_747	Escherichia_coli_Shigella	O80	35	37	0.945946	Highly confident
cl60_748	Escherichia_coli_Shigella	Escherichia_coli-KX16	30	32	0.9375	Highly confident
cl60_75	Escherichia_coli_Shigella	O5	4	8	0.5	Confident
cl60_752	Escherichia_coli_Shigella	O18/O18ab/O18ac	3	3	1.0	Highly confident
cl60_754	Escherichia_coli_Shigella	O107/O117	19	25	0.76	Confident
cl60_755	Escherichia_coli_Shigella	O141/O141ab/O141ac	1	1	1.0	Highly confident
cl60_756	Escherichia_coli_Shigella	O4	2	2	1.0	Highly confident
cl60_759	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_761	Escherichia_coli_Shigella	O159	1	1	1.0	Highly confident
cl60_763	Escherichia_coli_Shigella	O3	1	1	1.0	Highly confident
cl60_765	Escherichia_coli_Shigella	O19	1	1	1.0	Highly confident
cl60_766	Escherichia_coli_Shigella	O113	43	44	0.977273	Highly confident
cl60_767	Escherichia_coli_Shigella	O8/O9/O9a	33	34	0.970588	Highly confident
cl60_768	Escherichia_coli_Shigella	O110	22	23	0.956522	Highly confident
cl60_77	Escherichia_coli_Shigella	Escherichia_coli-KX16	24	27	0.888889	Confident
cl60_772	Escherichia_coli_Shigella	O136	29	29	1.0	Highly confident
cl60_774	Escherichia_coli_Shigella	O103	110	121	0.909091	Highly confident
cl60_776	Escherichia_coli_Shigella	O112;O174;O76	1;1;1	3;3;3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_777	Escherichia_coli_Shigella	O17/O44/O73/O77/O106	15	17	0.882353	Confident
cl60_778	Escherichia_coli_Shigella	O36	15	16	0.9375	Highly confident
cl60_779	Escherichia_coli_Shigella	O66	1	1	1.0	Highly confident
cl60_781	Escherichia_coli_Shigella	O8/O9/O9a	5	5	1.0	Highly confident
cl60_784	Escherichia_coli_Shigella	K47	1	1	1.0	Highly confident
cl60_788	Escherichia_coli_Shigella	Escherichia_coli-KX41	73	93	0.784946	Confident
cl60_794	Escherichia_coli_Shigella	O15	39	40	0.975	Highly confident
cl60_797	Escherichia_coli_Shigella	O8/O9/O9a	19	22	0.863636	Confident
cl60_798	Escherichia_coli_Shigella	O8/O9/O9a	4	4	1.0	Highly confident
cl60_8	Escherichia_coli_Shigella	K13	1	3	0.333333	Uncertain
cl60_801	Escherichia_coli_Shigella	O78	54	61	0.885246	Confident
cl60_805	Escherichia_coli_Shigella	O63	2	3	0.666667	Uncertain
cl60_806	Escherichia_coli_Shigella	O76	45	51	0.882353	Confident
cl60_808	Escherichia_coli_Shigella	O8/O9/O9a	13	13	1.0	Highly confident
cl60_809	Escherichia_coli_Shigella	O133	9	10	0.9	Confident
cl60_81	Escherichia_coli_Shigella	K127	1	1	1.0	Highly confident
cl60_810	Escherichia_coli_Shigella	O128ab/O128ac/O128	53	58	0.913793	Highly confident
cl60_813	Escherichia_coli_Shigella	Shigella-B2	8	8	1.0	Highly confident
cl60_815	Escherichia_coli_Shigella	O141/O141ab/O141ac;O145;O2/O50;O21;O51;O85;O91	1;1;1;1;1;1;1	7;7;7;7;7;7;7	0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857	Uncertain;Uncertain;Uncertain;Uncertain;Uncertain;Uncertain;Uncertain
cl60_82	Escherichia_coli_Shigella	K47	9	10	0.9	Confident
cl60_820	Escherichia_coli_Shigella	K25	1	1	1.0	Highly confident
cl60_823	Escherichia_coli_Shigella	O133	2	3	0.666667	Uncertain
cl60_824	Escherichia_coli_Shigella	O114;O5	8;7	17;17	0.470588;0.411765	Confident;Confident
cl60_826	Escherichia_coli_Shigella	O69	9	9	1.0	Highly confident
cl60_828	Escherichia_coli_Shigella	O4	1	1	1.0	Highly confident
cl60_829	Escherichia_coli_Shigella	O75	2	2	1.0	Highly confident
cl60_830	Escherichia_coli_Shigella	O103	1	1	1.0	Highly confident
cl60_834	Escherichia_coli_Shigella	Escherichia_coli-KX42	2	3	0.666667	Uncertain
cl60_836	Escherichia_coli_Shigella	O171	13	16	0.8125	Confident
cl60_837	Escherichia_coli_Shigella	O114	17	17	1.0	Highly confident
cl60_838	Escherichia_coli_Shigella	O149	21	26	0.807692	Confident
cl60_84	Escherichia_coli_Shigella	O26	34	34	1.0	Highly confident
cl60_841	Escherichia_coli_Shigella	O86/O90/O127	3	3	1.0	Highly confident
cl60_844	Escherichia_coli_Shigella	K20;K57;K63	1;3;1	26;26;26	0.0384615;0.115385;0.0384615	Uncertain;Uncertain;Uncertain
cl60_847	Escherichia_coli_Shigella	O17/O44/O73/O77/O106	39	47	0.829787	Confident
cl60_848	Escherichia_coli_Shigella	O116	23	25	0.92	Highly confident
cl60_849	Escherichia_coli_Shigella	O176	20	20	1.0	Highly confident
cl60_850	Escherichia_coli_Shigella	Shigella-B9	12	12	1.0	Highly confident
cl60_852	Escherichia_coli_Shigella	O34	7	7	1.0	Highly confident
cl60_856	Escherichia_coli_Shigella	O62/O68	13	15	0.866667	Confident
cl60_857	Escherichia_coli_Shigella	O145	11	11	1.0	Highly confident
cl60_858	Escherichia_coli_Shigella	O58	11	13	0.846154	Confident
cl60_860	Escherichia_coli_Shigella	O20/O137	6	7	0.857143	Confident
cl60_861	Escherichia_coli_Shigella	Escherichia_coli-KX69	1	15	0.0666667	Uncertain
cl60_865	Escherichia_coli_Shigella	O87	29	30	0.966667	Highly confident
cl60_867	Escherichia_coli_Shigella	Escherichia_coli-KX05	1	1	1.0	Highly confident
cl60_868	Escherichia_coli_Shigella	O8/O9/O9a	2	3	0.666667	Uncertain
cl60_87	Escherichia_coli_Shigella	Escherichia_coli-K11	9	18	0.5	Confident
cl60_870	Escherichia_coli_Shigella	Escherichia_coli-KX21	1	1	1.0	Highly confident
cl60_873	Escherichia_coli_Shigella	O132	1	1	1.0	Highly confident
cl60_876	Escherichia_coli_Shigella	Escherichia_coli-KX03	1	1	1.0	Highly confident
cl60_879	Escherichia_coli_Shigella	O2/O50	8	8	1.0	Highly confident
cl60_88	Escherichia_coli_Shigella	O8/O9/O9a	1	1	1.0	Highly confident
cl60_880	Escherichia_coli_Shigella	O120	15	15	1.0	Highly confident
cl60_883	Escherichia_coli_Shigella	O89/O101/O162	1	1	1.0	Highly confident
cl60_884	Escherichia_coli_Shigella	O29	2	2	1.0	Highly confident
cl60_885	Escherichia_coli_Shigella	O53	8	8	1.0	Highly confident
cl60_888	Escherichia_coli_Shigella	O25	7	7	1.0	Highly confident
cl60_889	Escherichia_coli_Shigella	O29	13	14	0.928571	Highly confident
cl60_89	Escherichia_coli_Shigella	O185	28	28	1.0	Highly confident
cl60_890	Escherichia_coli_Shigella	O104	31	37	0.837838	Confident
cl60_891	Escherichia_coli_Shigella	O29	45	45	1.0	Highly confident
cl60_893	Escherichia_coli_Shigella	Escherichia_coli-KX42	10	51	0.196078	Confident
cl60_895	Escherichia_coli_Shigella	O17/O44/O73/O77/O106	17	18	0.944444	Highly confident
cl60_897	Escherichia_coli_Shigella	O81	77	78	0.987179	Highly confident
cl60_898	Escherichia_coli_Shigella	K57	3	3	1.0	Highly confident
cl60_900	Escherichia_coli_Shigella	O111	66	67	0.985075	Highly confident
cl60_903	Escherichia_coli_Shigella	O5	4	5	0.8	Confident
cl60_905	Escherichia_coli_Shigella	O148	1	1	1.0	Highly confident
cl60_909	Escherichia_coli_Shigella	O88	3	3	1.0	Highly confident
cl60_91	Escherichia_coli_Shigella	K123	2	6	0.333333	Uncertain
cl60_910	Escherichia_coli_Shigella	O70	15	18	0.833333	Confident
cl60_911	Escherichia_coli_Shigella	O53	4	4	1.0	Highly confident
cl60_913	Escherichia_coli_Shigella	O53	2	2	1.0	Highly confident
cl60_916	Escherichia_coli_Shigella	O4;O6	12;11	36;36	0.333333;0.305556	Confident;Confident
cl60_917	Escherichia_coli_Shigella	O49	14	18	0.777778	Confident
cl60_919	Escherichia_coli_Shigella	O2/O50	2	2	1.0	Highly confident
cl60_920	Escherichia_coli_Shigella	Escherichia_coli-KX39	1	1	1.0	Highly confident
cl60_922	Escherichia_coli_Shigella	O8/O9/O9a	37	37	1.0	Highly confident
cl60_923	Escherichia_coli_Shigella	O154;O51	2;2	5;5	0.4;0.4	Uncertain;Uncertain
cl60_924	Escherichia_coli_Shigella	Escherichia_coli-KX03	1	1	1.0	Highly confident
cl60_925	Escherichia_coli_Shigella	O139	6	9	0.666667	Confident
cl60_927	Escherichia_coli_Shigella	O166	1	1	1.0	Highly confident
cl60_928	Escherichia_coli_Shigella	O38	1	1	1.0	Highly confident
cl60_929	Escherichia_coli_Shigella	O70	6	6	1.0	Highly confident
cl60_932	Escherichia_coli_Shigella	O25	16	18	0.888889	Confident
cl60_934	Escherichia_coli_Shigella	Escherichia_coli-KX68	6	10	0.6	Confident
cl60_936	Escherichia_coli_Shigella	O36	18	24	0.75	Confident
cl60_937	Escherichia_coli_Shigella	O85	7	7	1.0	Highly confident
cl60_941	Escherichia_coli_Shigella	O29	1	1	1.0	Highly confident
cl60_942	Escherichia_coli_Shigella	O3	25	27	0.925926	Highly confident
cl60_944	Escherichia_coli_Shigella	O160	2	2	1.0	Highly confident
cl60_945	Escherichia_coli_Shigella	O140	26	27	0.962963	Highly confident
cl60_947	Escherichia_coli_Shigella	O75	25	28	0.892857	Confident
cl60_949	Escherichia_coli_Shigella	O125ab/O125ac/O125	20	24	0.833333	Confident
cl60_95	Escherichia_coli_Shigella	Escherichia_coli-KX02	173	200	0.865	Confident
cl60_950	Escherichia_coli_Shigella	O146	11	11	1.0	Highly confident
cl60_951	Escherichia_coli_Shigella	O85	8	8	1.0	Highly confident
cl60_953	Escherichia_coli_Shigella	O38	18	18	1.0	Highly confident
cl60_955	Escherichia_coli_Shigella	O16	14	16	0.875	Confident
cl60_956	Escherichia_coli_Shigella	O2/O50	12	14	0.857143	Confident
cl60_958	Escherichia_coli_Shigella	Escherichia_coli-KX40	1	2	0.5	Uncertain
cl60_959	Escherichia_coli_Shigella	O8/O9/O9a	3	3	1.0	Highly confident
cl60_960	Escherichia_coli_Shigella	O8/O9/O9a	1	1	1.0	Highly confident
cl60_961	Escherichia_coli_Shigella	O1	2	2	1.0	Highly confident
cl60_963	Escherichia_coli_Shigella	O166	20	20	1.0	Highly confident
cl60_964	Escherichia_coli_Shigella	O109	57	60	0.95	Highly confident
cl60_965	Escherichia_coli_Shigella	O150	16	16	1.0	Highly confident
cl60_966	Escherichia_coli_Shigella	O13/O129/O135	1	1	1.0	Highly confident
cl60_971	Escherichia_coli_Shigella	O150	7	7	1.0	Highly confident
cl60_972	Escherichia_coli_Shigella	O116	1	1	1.0	Highly confident
cl60_973	Escherichia_coli_Shigella	Shigella-B18	13	15	0.866667	Confident
cl60_977	Escherichia_coli_Shigella	O118/O151;O39	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_981	Escherichia_coli_Shigella	O16	39	40	0.975	Highly confident
cl60_982	Escherichia_coli_Shigella	O51	1	1	1.0	Highly confident
cl60_983	Escherichia_coli_Shigella	O108	29	41	0.707317	Confident
cl60_985	Escherichia_coli_Shigella	O23;O62/O68;O8/O9/O9a	1;1;1	3;3;3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_986	Escherichia_coli_Shigella	K114	1	1	1.0	Highly confident
cl60_988	Escherichia_coli_Shigella	O38	8	8	1.0	Highly confident
cl60_992	Escherichia_coli_Shigella	O69	1	1	1.0	Highly confident
cl60_994	Escherichia_coli_Shigella	O146	4	4	1.0	Highly confident
cl60_996	Escherichia_coli_Shigella	O53	7	8	0.875	Confident
cl60_999	Escherichia_coli_Shigella	Escherichia_coli-KX13	21	23	0.913043	Highly confident
