cl60_66	Klebsiella	K149	40	69	0.57971	Confident
cl60_662	Klebsiella	K10	1	1	1.0	Highly confident
cl60_664	Klebsiella	K64	1	1	1.0	Highly confident
cl60_665	Klebsiella	K63	15	16	0.9375	Highly confident
cl60_67	Klebsiella	K169	4	4	1.0	Highly confident
cl60_670	Klebsiella	O1	35	60	0.583333	Confident
cl60_673	Klebsiella	K173	1	1	1.0	Highly confident
cl60_68	Klebsiella	K35	7	9	0.777778	Confident
cl60_680	Klebsiella	K3	1	1	1.0	Highly confident
cl60_681	Klebsiella	K48	2	2	1.0	Highly confident
cl60_685	Klebsiella	K12	1	1	1.0	Highly confident
cl60_69	Klebsiella	K166	16	27	0.592593	Confident
cl60_693	Klebsiella	K170	1	1	1.0	Highly confident
cl60_694	Klebsiella	O4	2	2	1.0	Highly confident
cl60_70	Klebsiella	K10	2	2	1.0	Highly confident
cl60_700	Klebsiella	K25	13	26	0.5	Confident
cl60_705	Klebsiella	K169	11	14	0.785714	Confident
cl60_707	Klebsiella	K9	1	1	1.0	Highly confident
cl60_710	Klebsiella	K55	2	2	1.0	Highly confident
cl60_72	Klebsiella	K166	1	3	0.333333	Uncertain
cl60_720	Klebsiella	O2afg	1	1	1.0	Highly confident
cl60_726	Klebsiella	O5	12	15	0.8	Confident
cl60_728	Klebsiella	K135	3	6	0.5	Uncertain
cl60_731	Klebsiella	K117;K3	3;3	7;7	0.428571;0.428571	Uncertain;Uncertain
cl60_735	Klebsiella	O103;O4	2;2	4;4	0.5;0.5	Uncertain;Uncertain
cl60_737	Klebsiella	O3b	1	1	1.0	Highly confident
cl60_74	Klebsiella	K60	83	146	0.568493	Confident
cl60_749	Klebsiella	K105	29	41	0.707317	Confident
cl60_753	Klebsiella	O104;O2afg;O3b;O5	1;1;1;1	4;4;4;4	0.25;0.25;0.25;0.25	Uncertain;Uncertain;Uncertain;Uncertain
cl60_757	Klebsiella	K124	1	1	1.0	Highly confident
cl60_758	Klebsiella	K47	1	1	1.0	Highly confident
cl60_764	Klebsiella	K45	5	7	0.714286	Confident
cl60_773	Klebsiella	O3/O3a;O5	3;3	6;6	0.5;0.5	Uncertain;Uncertain
cl60_78	Klebsiella	K164	11	12	0.916667	Highly confident
cl60_785	Klebsiella	K148	2	2	1.0	Highly confident
cl60_786	Klebsiella	K18	17	43	0.395349	Confident
